No,ENZY_ACC_ID,ENZYME,KIN_ORGANISM,GENE,E3_Alias,E3_PN,,,SUB_ACC_ID,SUBSTRATE,SUB_ORGANISM,SUB_GENE,SUB_Alias,SUB_PN,E3_ORGANISM,SUB_ORGANISM,PMID
2437,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,Q811D0,DLG1,MOUSE,Dlg1,Dlg1~~Dlgh1,Disks large homolog 1 ~~Embryo-dlg/synapse-associated protein 97~~E-dlg/SAP97~~Synapse-associated protein 97~~SAP-97~~SAP97,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2438,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,P25799,NFKB1,MOUSE,Nfkb1,Nfkb1,Nuclear factor NF-kappa-B p105 subunit ~~DNA-binding factor KBF1~~EBP-1~~NF-kappa-B1 p84/NF-kappa-B1 p98~~Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 ,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2439,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,Q64702,PLK4,MOUSE,Plk4,Plk4~~Sak~~Stk18,Serine/threonine-protein kinase PLK4 ~~Polo-like kinase 4~~PLK-4~~Serine/threonine-protein kinase 18~~Serine/threonine-protein kinase Sak,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2440,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,Q9WTK5,NFKB2,MOUSE,Nfkb2,Nfkb2,Nuclear factor NF-kappa-B p100 subunit ~~DNA-binding factor KBF2~~Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 ,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2441,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,Q9Z1E3,IKBA,MOUSE,Nfkbia,Nfkbia~~Ikba,NF-kappa-B inhibitor alpha ~~I-kappa-B-alpha~~IkB-alpha~~IkappaBalpha,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2442,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,Q60778,IKBB,MOUSE,Nfkbib,Nfkbib~~Ikbb,NF-kappa-B inhibitor beta ~~NF-kappa-BIB~~I-kappa-B-beta~~IkB-B~~IkB-beta~~IkappaBbeta,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2443,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,O54910,IKBE,MOUSE,Nfkbie,Nfkbie~~Ikbe,NF-kappa-B inhibitor epsilon ~~NF-kappa-BIE~~I-kappa-B-epsilon~~IkB-E~~IkB-epsilon~~IkappaBepsilon,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2444,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,Q7TSG3,FBX5,MOUSE,Fbxo5,Fbxo5~~Emi1,F-box only protein 5 ~~Early mitotic inhibitor 1,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2445,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,O54918,B2L11,MOUSE,Bcl2l11,Bcl2l11~~Bim,Bcl-2-like protein 11 ~~Bcl2-L-11~~Bcl2-interacting mediator of cell death,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2446,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,P47941,CRKL,MOUSE,Crkl,Crkl~~Crkol,Crk-like protein,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2447,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,P09581,CSF1R,MOUSE,Csf1r,Csf1r~~Csfmr~~Fms,Macrophage colony-stimulating factor 1 receptor ~~CSF-1 receptor~~CSF-1-R~~CSF-1R~~M-CSF-R ~~Proto-oncogene c-Fms~~CD antigen CD115,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2448,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,Q01279,EGFR,MOUSE,Egfr,Egfr,Epidermal growth factor receptor ,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2449,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,P16092,FGFR1,MOUSE,Fgfr1,Fgfr1~~Flg,Fibroblast growth factor receptor 1 ~~FGFR-1~~bFGF-R-1 ~~Basic fibroblast growth factor receptor 1~~MFR~~Proto-oncogene c-Fgr~~CD antigen CD331,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2450,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,P21803,FGFR2,MOUSE,Fgfr2,Fgfr2~~Bek~~Ect1,Fibroblast growth factor receptor 2 ~~FGFR-2 ~~Keratinocyte growth factor receptor~~KGFR~~CD antigen CD332,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2451,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,Q61851,FGFR3,MOUSE,Fgfr3,Fgfr3~~Mfr3~~Sam3,Fibroblast growth factor receptor 3 ~~FGFR-3 ~~Heparin-binding growth factor receptor~~CD antigen CD333,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2452,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,Q03142,FGFR4,MOUSE,Fgfr4,Fgfr4~~Fgfr-4~~Mpk-11,Fibroblast growth factor receptor 4 ~~FGFR-4 ~~Protein-tyrosine kinase receptor MPK-11~~CD antigen CD334,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2453,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,Q8C180,FRS2,MOUSE,Frs2,Frs2~~Frs2a,Fibroblast growth factor receptor substrate 2 ~~FGFR substrate 2~~FGFR-signaling adaptor SNT~~FRS2-alpha~~Suc1-associated neurotrophic factor target 1~~SNT-1,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2454,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,Q99LI8,HGS,MOUSE,Hgs,Hgs~~Hrs,Hepatocyte growth factor-regulated tyrosine kinase substrate,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2455,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,Q00560,IL6RB,MOUSE,Il6st,Il6st,Interleukin-6 receptor subunit beta ~~IL-6 receptor subunit beta~~IL-6R subunit beta~~IL-6R-beta~~IL-6RB~~Interleukin-6 signal transducer~~Membrane glycoprotein 130~~gp130~~Oncostatin-M receptor subunit alpha~~CD antigen CD130,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2456,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,P23611,IRF8,MOUSE,Irf8,Irf8~~Icsbp~~Icsbp1,Interferon regulatory factor 8 ~~IRF-8~~Interferon consensus sequence-binding protein~~ICSBP,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2457,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,P35918,VGFR2,MOUSE,Kdr,Kdr~~Flk-1~~Flk1,Vascular endothelial growth factor receptor 2 ~~VEGFR-2 ~~Fetal liver kinase 1~~FLK-1~~Kinase NYK~~Protein-tyrosine kinase receptor flk-1~~CD antigen CD309,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2458,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,P05532,KIT,MOUSE,Kit,Kit~~Sl,Mast/stem cell growth factor receptor Kit ~~SCFR ~~Proto-oncogene c-Kit~~Tyrosine-protein kinase Kit~~CD antigen CD117,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2459,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,P25911,LYN,MOUSE,Lyn,Lyn,Tyrosine-protein kinase Lyn ~~V-yes-1 Yamaguchi sarcoma viral related oncogene homolog~~p53Lyn~~p56Lyn,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2460,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,P16056,MET,MOUSE,Met,Met,Hepatocyte growth factor receptor ~~HGF receptor ~~HGF/SF receptor~~Proto-oncogene c-Met~~Scatter factor receptor~~SF receptor~~Tyrosine-protein kinase Met,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2461,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,P26618,PGFRA,MOUSE,Pdgfra,Pdgfra,Platelet-derived growth factor receptor alpha ~~PDGF-R-alpha~~PDGFR-alpha ~~Alpha platelet-derived growth factor receptor~~Alpha-type platelet-derived growth factor receptor~~CD140 antigen-like family member A~~Platelet-derived growth factor alpha receptor~~CD antigen CD140a,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2462,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,P05622,PGFRB,MOUSE,Pdgfrb,Pdgfrb~~Pdgfr~~Pdgfr1,Platelet-derived growth factor receptor beta ~~PDGF-R-beta~~PDGFR-beta ~~Beta platelet-derived growth factor receptor~~Beta-type platelet-derived growth factor receptor~~CD140 antigen-like family member B~~Platelet-derived growth factor receptor 1~~PDGFR-1~~CD antigen CD140b,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2463,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,Q8R550,SH3K1,MOUSE,Sh3kbp1,Sh3kbp1~~Ruk~~Seta,SH3 domain-containing kinase-binding protein 1 ~~Regulator of ubiquitous kinase~~Ruk~~SH3-containing,,,
2464,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,Q3UTJ2,SRBS2,MOUSE,Sorbs2,Sorbs2~~Argbp2~~Kiaa0777,Sorbin and SH3 domain-containing protein 2 ~~Arg-binding protein 2~~ArgBP2~~Arg/Abl-interacting protein 2,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2465,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,P42230,STA5A,MOUSE,Stat5a,Stat5a~~Mgf~~Mpf,Signal transducer and activator of transcription 5A ~~Mammary gland factor,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2466,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,P42232,STA5B,MOUSE,Stat5b,Stat5b,Signal transducer and activator of transcription 5B,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2467,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,P48025,KSYK,MOUSE,Syk,Syk~~ptk72~~Sykb,Tyrosine-protein kinase SYK ~~Spleen tyrosine kinase,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2468,P22682,CBL,MOUSE,Cbl,Cbl,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,,,P27870,VAV,MOUSE,Vav1,Vav1~~Vav,Proto-oncogene vav ~~p95vav,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2469,Q3TTA7,CBLB,MOUSE,Cblb,Cblb,E3 ubiquitin-protein ligase CBL-B ~~Casitas B-lineage lymphoma proto-oncogene b~~RING-type E3 ubiquitin transferase CBL-B~~SH3-binding protein CBL-B~~Signal transduction protein CBL-B,,,Q3TTA7,CBLB,MOUSE,Cblb,Cblb,E3 ubiquitin-protein ligase CBL-B ~~Casitas B-lineage lymphoma proto-oncogene b~~RING-type E3 ubiquitin transferase CBL-B~~SH3-binding protein CBL-B~~Signal transduction protein CBL-B,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2470,Q3TTA7,CBLB,MOUSE,Cblb,Cblb,E3 ubiquitin-protein ligase CBL-B ~~Casitas B-lineage lymphoma proto-oncogene b~~RING-type E3 ubiquitin transferase CBL-B~~SH3-binding protein CBL-B~~Signal transduction protein CBL-B,,,Q62077,PLCG1,MOUSE,Plcg1,Plcg1~~Plcg-1,1-phosphatidylinositol 4,,,
2471,Q3TTA7,CBLB,MOUSE,Cblb,Cblb,E3 ubiquitin-protein ligase CBL-B ~~Casitas B-lineage lymphoma proto-oncogene b~~RING-type E3 ubiquitin transferase CBL-B~~SH3-binding protein CBL-B~~Signal transduction protein CBL-B,,,Q8R550,SH3K1,MOUSE,Sh3kbp1,Sh3kbp1~~Ruk~~Seta,SH3 domain-containing kinase-binding protein 1 ~~Regulator of ubiquitous kinase~~Ruk~~SH3-containing,,,
2472,Q3TTA7,CBLB,MOUSE,Cblb,Cblb,E3 ubiquitin-protein ligase CBL-B ~~Casitas B-lineage lymphoma proto-oncogene b~~RING-type E3 ubiquitin transferase CBL-B~~SH3-binding protein CBL-B~~Signal transduction protein CBL-B,,,P48025,KSYK,MOUSE,Syk,Syk~~ptk72~~Sykb,Tyrosine-protein kinase SYK ~~Spleen tyrosine kinase,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2473,Q9JIY2,HAKAI,MOUSE,Cbll1,Cbll1~~Hakai,E3 ubiquitin-protein ligase Hakai ~~Casitas B-lineage lymphoma-transforming sequence-like protein 1~~c-Cbl-like protein 1~~E-cadherin binding protein E7~~RING-type E3 ubiquitin transferase Hakai,,,P09803,CADH1,MOUSE,Cdh1,Cdh1,Cadherin-1 ~~ARC-1~~Epithelial cadherin~~E-cadherin~~Uvomorulin~~CD antigen CD324 ,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2474,Q9JJ66,CDC20,MOUSE,Cdc20,Cdc20,Cell division cycle protein 20 homolog ~~mmCdc20~~p55CDC,,,P24860,CCNB1,MOUSE,Ccnb1,Ccnb1~~Ccn-2~~Ccnb1-rs13~~Cycb~~Cycb1,G2/mitotic-specific cyclin-B1,Mus musculus (Mouse),Mus musculus (Mouse),22199232
